"ageb_urbana_cvegeo","pob_total","pob_0a2","pob_3a5","pob_6a11","pob_12a14","pob_15a17","pob_18a24","pob_25a29","pob_30a49","pob_50a59","pob_60ymas"
"0900200010010",3424,71,77,235,129,137,298,182,1055,293,822
"0900200010025",5912,206,241,466,212,261,622,426,1705,699,974
"090020001003A",4638,157,137,347,202,197,478,273,1395,370,902
"0900200010044",5007,148,162,391,178,203,459,365,1422,469,993
"0900200010097",2260,56,82,150,80,88,202,157,626,248,523
"090020001010A",3385,79,106,225,120,150,289,203,924,348,735
"0900200010114",10265,450,483,952,491,554,1400,868,2983,1002,905
"0900200010129",5005,248,221,482,208,227,605,353,1645,455,384
"0900200010133",7028,255,267,635,329,418,867,536,2192,717,709
"0900200010148",2645,73,96,195,93,88,218,196,777,246,464
"0900200010167",3169,114,143,272,138,145,368,273,968,356,357
"0900200010171",2466,72,83,157,93,113,264,176,726,247,444
"0900200010186",7474,304,322,682,345,366,852,568,2414,737,847
"0900200010190",7548,274,292,639,321,374,933,635,2280,809,851
"0900200010203",6107,261,266,544,247,276,723,487,1793,660,757
"0900200010218",3970,154,174,336,147,190,402,354,1173,444,578
"0900200010222",6901,264,267,640,324,384,921,510,2113,688,712
"0900200010237",6355,282,259,587,302,314,742,507,1907,627,719
"0900200010256",4438,168,170,418,183,231,522,341,1283,497,537
"0900200010260",5150,161,176,367,222,260,573,435,1456,576,663
"0900200010275",7839,279,367,761,361,415,886,613,2371,821,833
"090020001028A",3257,77,91,215,123,132,374,289,936,430,532
"0900200010294",5385,207,220,438,214,261,595,400,1616,568,724
"0900200010307",6178,223,264,564,311,286,698,478,1828,652,756
"0900200010311",3466,127,113,253,142,141,386,267,1008,418,530
"0900200010326",7255,272,303,645,296,356,921,622,2393,795,604
"0900200010330",2442,101,100,224,105,123,290,218,752,224,293
"0900200010345",3821,128,184,291,149,165,413,291,1039,419,697
"090020001035A",4788,223,221,470,180,234,595,383,1529,469,463
"0900200010364",3744,131,157,297,147,184,395,276,1080,422,588
"0900200010379",5070,188,189,388,209,209,531,398,1409,603,769
"0900200010383",4267,154,155,318,183,177,491,322,1165,454,616
"0900200010398",4103,121,133,313,162,184,475,320,1171,463,643
"0900200010400",4042,115,141,322,136,166,443,337,1163,481,617
"0900200010415",4280,139,160,276,174,175,424,330,1214,523,750
"0900200010434",3071,71,87,165,88,80,276,222,787,398,663
"0900200010449",2959,93,112,217,99,110,328,196,848,368,546
"0900200010468",3316,109,102,225,158,144,364,258,978,359,493
"0900200010472",6395,249,290,488,216,226,585,487,2216,707,769
"0900200010487",3921,107,146,310,145,188,442,321,1093,450,613
"0900200010491",6048,170,213,468,250,253,667,434,1868,693,951
"0900200010504",4623,144,133,315,139,196,516,348,1382,570,776
"0900200010519",2513,87,89,157,67,92,270,213,694,313,435
"0900200010542",3013,113,119,235,120,130,363,219,866,352,453
"0900200010557",4698,176,179,383,189,191,525,369,1395,548,701
"0900200010561",3187,125,129,273,134,130,358,244,933,377,442
"0900200010576",3243,115,133,262,142,152,361,267,951,357,457
"0900200010580",4210,173,177,355,181,174,473,335,1220,491,555
"0900200010595",4637,194,256,440,211,259,621,370,1341,437,495
"0900200010608",5002,233,257,536,246,278,611,380,1537,389,493
"0900200010612",4351,203,198,413,222,234,562,352,1330,369,456
"0900200010627",5097,243,260,505,229,246,676,402,1566,404,549
"0900200010631",5242,185,199,420,194,231,550,411,1500,571,759
"0900200010650",6888,268,280,619,324,327,850,540,1968,722,825
"0900200010665",7698,313,297,681,331,363,936,655,2251,791,966
"090020001067A",6274,204,209,466,243,287,721,541,1880,731,725
"0900200010684",4562,131,155,310,157,170,491,347,1404,585,722
"0900200010699",2648,62,79,134,91,95,240,194,732,391,555
"0900200010701",2518,49,76,147,78,85,258,173,749,367,466
"0900200010716",4245,128,147,299,148,169,463,331,1210,495,710
"0900200010720",3099,76,74,161,84,120,325,227,823,438,666
"090020001074A",3144,92,88,235,131,140,344,244,899,402,522
"0900200010754",2543,82,96,182,104,120,246,216,709,307,420
"0900200010769",5172,199,200,399,235,237,585,414,1599,581,687
"0900200010773",2718,100,113,223,92,125,309,228,770,318,415
"0900200010788",2651,82,75,193,88,105,283,195,806,310,433
"0900200010792",4901,160,191,344,185,197,520,379,1338,575,836
"0900200010805",2021,55,42,120,60,78,196,149,601,273,395
"090020001081A",3260,100,95,215,117,108,313,267,911,418,553
"0900200010824",2737,91,87,209,115,134,312,226,832,300,430
"0900200010839",3160,90,96,172,86,98,318,262,858,449,618
"0900200010843",3796,89,114,219,109,138,376,327,1106,474,692
"0900200010858",4493,141,154,323,181,217,499,357,1324,499,688
"0900200010877",804,37,34,72,38,41,114,59,249,65,93
"0900200010881",5625,234,277,531,289,275,674,406,1671,533,615
"0900200010896",1768,64,41,118,47,59,188,128,546,188,350
"0900200010909",1855,56,57,123,52,68,178,127,512,215,425
"0900200010913",3631,131,116,275,143,161,393,339,1014,522,518
"0900200010928",995,47,50,102,53,65,162,80,267,105,61
"0900200010932",380,14,13,27,10,15,32,38,112,82,28
"0900200010947",5093,216,207,337,186,230,805,537,1372,737,366
"0900200010966",2133,57,53,113,52,54,173,133,562,272,549
"0900200010970",3027,98,103,259,137,134,322,201,895,369,377
"0900200010985",2475,67,71,169,66,98,264,175,727,228,500
"090020001099A",1259,50,52,122,50,52,132,106,397,126,127
"0900200011004",6765,303,293,603,332,384,865,536,2121,681,548
"0900200011019",1649,60,67,132,71,79,198,128,469,219,177
"0900200011023",5099,185,198,415,205,242,551,397,1610,525,692
"0900200011038",7376,342,354,756,382,412,869,601,2337,705,594
"0900200011042",6282,272,299,598,318,319,774,526,1845,605,634
"0900200011057",2835,79,72,151,74,89,302,200,810,406,552
"0900200011061",1814,42,45,106,57,67,168,116,521,221,406
"0900200011076",0,0,0,0,0,0,0,0,0,0,0
"0900200011080",3211,164,169,356,155,151,288,249,1122,234,201
"0900200011095",6809,271,317,616,319,306,726,491,2283,626,561
"0900200011112",4415,158,163,322,181,254,737,397,1356,569,247
"0900200011127",3085,101,116,238,122,159,511,270,913,432,192
"0900200011131",2880,57,63,197,91,103,262,245,796,373,542
"0900200011146",1083,29,19,69,36,50,115,63,283,138,209
"0900200011150",1633,89,65,164,64,97,218,136,511,130,159
"0900200011165",401,13,16,49,33,25,39,29,121,35,41
"090020001117A",1714,59,58,117,54,57,189,150,513,197,260
"0900200011184",1477,38,54,84,50,65,144,112,416,187,239
"0900300010018",1622,40,30,79,39,45,152,89,394,223,372
"0900300010022",1655,28,35,84,52,71,160,104,464,252,393
"0900300010037",1329,27,31,73,37,38,126,99,381,204,294
"0900300010041",3756,73,79,170,96,120,346,273,921,526,743
"0900300010056",4008,83,95,210,131,142,394,262,1127,528,656
"0900300010060",3852,110,157,197,113,125,396,243,942,452,684
"0900300010075",2965,47,65,144,75,95,276,186,703,349,547
"090030001008A",2262,30,44,112,67,81,242,150,575,356,565
"0900300010094",3411,72,75,127,91,114,355,249,876,505,768
"0900300010107",7058,156,178,426,239,241,679,457,1957,872,1292
"0900300010111",1383,17,29,93,44,49,125,83,296,174,411
"0900300010126",1822,27,46,90,40,56,166,148,455,240,381
"0900300010130",2645,50,58,107,75,69,269,184,646,376,618
"0900300010145",2385,36,72,189,63,54,186,173,636,271,465
"090030001015A",5125,99,133,308,158,188,466,359,1379,686,939
"0900300010164",2850,57,88,146,87,91,247,219,812,390,528
"0900300010179",2085,30,30,101,55,89,203,166,579,304,411
"0900300010183",3205,65,69,157,91,124,296,237,855,414,544
"0900300010198",1615,30,47,65,51,56,180,117,405,267,335
"0900300010200",5729,164,180,382,236,207,577,417,1863,717,763
"0900300010215",6275,209,226,435,210,224,610,442,2072,716,636
"090030001022A",8197,328,415,731,359,399,1018,727,2324,885,752
"0900300010234",729,13,22,33,18,16,70,58,163,135,117
"0900300010249",783,10,25,26,17,34,93,61,212,111,152
"0900300010268",1442,17,25,53,29,30,139,103,373,178,324
"0900300010272",3468,45,81,141,83,101,315,228,798,480,835
"0900300010287",8323,245,307,646,301,336,867,612,2468,950,1274
"0900300010291",4092,109,125,246,132,174,470,321,1076,503,559
"0900300010304",1606,32,37,88,46,48,131,106,389,219,340
"0900300010319",2718,49,55,142,75,119,226,203,651,347,451
"0900300010323",3135,64,75,153,85,125,290,212,779,453,596
"0900300010342",3548,85,80,195,112,120,351,279,932,549,712
"0900300010357",4860,186,231,486,259,278,636,391,1412,421,425
"0900300010361",2082,48,65,125,66,75,302,184,569,255,362
"0900300010376",1448,29,27,54,29,30,185,134,392,175,309
"0900300010380",2397,50,48,88,55,43,327,218,660,328,418
"0900300010395",2242,32,37,75,54,52,358,222,580,283,420
"0900300010408",1692,31,21,50,37,47,269,147,361,213,303
"0900300010412",3873,79,76,148,78,84,491,338,997,479,788
"0900300010427",2145,33,36,117,63,91,247,172,517,288,500
"0900300010431",5145,165,205,459,238,228,573,453,1499,523,703
"0900300010446",5081,171,196,378,234,230,478,263,1619,522,539
"0900300010450",6611,159,205,478,249,259,663,496,1802,857,841
"0900300010465",1527,30,22,46,30,39,145,102,352,230,357
"0900300010484",1099,23,16,44,30,34,92,74,270,139,260
"0900300010499",2534,49,54,115,74,73,241,173,592,376,579
"0900300010501",3331,58,75,189,106,116,292,197,809,436,753
"0900300010516",1365,40,50,73,44,45,127,122,407,170,236
"0900300010520",2643,81,107,185,104,109,289,211,724,317,436
"0900300010535",8789,439,471,886,427,502,1133,747,2502,764,731
"090030001054A",1339,15,29,51,25,36,289,157,322,186,208
"0900300010554",4849,154,189,387,202,258,698,443,1418,555,521
"0900300010573",12179,433,542,1146,619,615,1529,955,3958,1199,1030
"0900300010588",1840,46,52,142,72,66,181,150,496,248,309
"0900300010605",4041,230,232,468,215,232,520,343,1110,330,277
"090030001061A",11031,481,540,1159,548,555,1342,957,3410,885,1103
"0900300010624",10248,473,546,1097,517,588,1267,807,3114,718,946
"0900300010639",12372,571,705,1382,668,650,1442,989,3820,903,1209
"0900300010643",9265,391,421,883,445,535,1138,710,2900,781,948
"0900300010658",11535,488,514,1029,500,581,1485,946,3382,1141,1182
"0900300010662",5604,179,223,459,232,271,657,408,1673,533,688
"0900300010677",7693,208,258,532,286,322,782,557,2127,874,993
"0900300010681",3507,102,100,250,121,132,391,263,952,421,427
"0900300010696",1949,36,41,82,44,75,166,154,509,316,451
"0900300010709",3311,92,96,206,110,117,341,232,920,426,570
"0900300010713",4664,89,118,221,124,155,433,320,1255,649,1042
"0900300010728",4011,71,89,213,124,133,350,256,996,522,873
"0900300010770",280,7,6,9,8,9,60,17,75,30,59
"0900300010785",11211,524,542,1160,608,594,1449,920,3481,785,1087
"090030001079A",8078,380,430,840,445,407,984,693,2442,591,805
"0900300010802",13380,661,725,1416,718,760,1620,1107,4006,911,1232
"0900300010817",9846,374,437,901,470,518,1122,814,3043,924,1062
"0900300010821",5061,184,237,471,259,279,589,371,1561,461,562
"0900300010836",6285,242,271,553,294,337,763,496,1898,636,740
"0900300010840",6039,225,236,491,272,287,693,471,1844,676,737
"0900300010855",2774,74,92,174,89,104,316,211,717,357,523
"090030001086A",2705,52,60,146,75,95,242,148,689,347,617
"0900300010889",2633,33,53,107,74,89,227,166,686,393,769
"0900300010893",1922,36,42,89,45,57,175,130,514,236,539
"0900300010906",3409,70,96,218,111,119,311,299,977,540,612
"090030001093A",1313,12,23,78,33,48,128,91,309,185,307
"0900300010959",4568,196,241,444,214,228,523,380,1329,366,526
"0900300010963",6162,213,222,546,313,308,735,399,1941,584,779
"0900300010978",8305,366,371,809,379,462,1023,674,2520,769,811
"0900300010982",6450,240,253,606,331,293,806,501,1937,670,710
"0900300010997",8897,331,384,748,407,443,1027,701,2633,851,972
"0900300011001",7413,315,394,726,364,417,903,594,2352,623,707
"0900300011016",6195,222,281,577,327,349,702,477,1983,573,589
"0900300011020",3205,67,98,217,123,108,320,246,914,396,562
"0900300011069",1773,30,48,95,51,62,148,144,476,261,388
"0900300011073",1660,25,39,89,51,45,195,125,430,266,385
"0900300011092",5351,129,147,319,155,172,539,406,1669,806,870
"0900300011105",2667,46,66,155,68,127,401,210,671,385,495
"0900300011124",6689,296,333,640,291,316,812,527,2046,670,688
"0900300011139",702,13,14,30,16,31,72,48,198,87,139
"0900300011143",626,17,11,25,19,22,54,34,147,89,142
"0900300011158",8917,373,419,867,449,449,1079,777,2803,892,766
"0900300011162",15107,632,690,1586,748,729,1684,1237,4545,1332,1525
"0900300011181",4373,131,138,295,120,194,519,396,1200,685,609
"0900300011213",5817,157,162,415,202,205,633,599,1580,902,918
"0900300011228",2015,79,91,192,88,86,248,195,557,217,230
"0900300011232",3112,86,90,198,119,141,335,234,836,401,543
"0900300011247",5243,163,186,362,177,194,520,473,1462,681,931
"0900300011251",2500,54,83,165,86,75,256,167,712,297,536
"0900300011266",2846,96,78,203,115,112,279,188,866,269,585
"0900300011270",4379,124,154,254,134,133,458,371,1235,619,803
"0900300011285",3808,113,118,246,117,148,342,376,1111,478,737
"090030001129A",3664,77,119,262,133,162,380,314,1065,544,599
"0900300011302",1990,60,47,121,56,50,205,183,538,270,430
"0900300011317",2747,90,102,179,81,101,283,213,753,399,488
"0900300011321",3906,97,100,222,129,132,357,314,1094,532,795
"0900300011336",3144,109,108,215,120,136,318,233,936,353,563
"0900300011340",2647,64,74,153,76,98,255,216,781,312,517
"0900300011355",2663,56,80,142,86,74,262,200,763,321,598
"090030001136A",2451,62,48,152,80,67,211,187,686,316,549
"0900300011374",2521,48,66,138,72,82,207,192,702,304,605
"0900300011389",3630,178,216,379,189,181,495,280,1000,309,345
"0900300011393",2933,139,125,294,146,131,352,262,847,302,287
"0900300011406",3078,119,146,259,147,152,391,238,877,294,384
"0900300011410",3706,141,146,308,154,132,386,351,1219,413,411
"0900300011425",6975,278,305,672,274,337,745,562,2223,647,887
"090030001143A",2893,50,63,144,95,113,351,259,777,479,510
"0900300011444",2632,54,69,128,82,90,260,230,743,471,454
"0900300011459",2584,71,80,142,103,101,309,237,708,414,258
"0900300011463",3205,106,104,193,134,149,508,286,959,451,175
"0900300011478",4162,103,155,283,120,169,422,410,1136,662,623
"0900300011482",4255,123,141,310,162,160,437,431,1155,688,543
"0900300011497",5598,178,197,369,160,202,605,571,1472,1021,772
"090030001150A",4931,116,157,356,173,200,565,437,1397,797,612
"0900300011514",6177,214,215,448,228,263,661,583,1658,952,836
"0900300011529",5286,140,163,347,223,179,491,433,1722,536,800
"0900300011533",0,0,0,0,0,0,0,0,0,0,0
"0900300011548",1598,43,37,68,33,41,218,189,491,240,121
"0900300011552",1794,43,55,110,49,60,191,226,541,262,221
"0900300011567",1748,42,53,97,38,60,165,199,527,285,237
"0900300011571",1868,42,52,106,80,65,176,154,581,195,362
"0900300011586",437,8,16,30,18,10,40,35,142,44,91
"0900300011590",1898,56,47,110,64,60,205,192,547,222,330
"0900300011618",977,16,14,46,29,34,110,81,237,177,182
"0900300011622",2650,74,71,160,71,79,280,254,781,352,467
"0900300011637",2923,64,72,179,89,99,310,262,891,425,447
"0900300011641",1970,48,43,107,62,70,207,183,557,313,331
"0900300011656",3015,86,99,235,120,133,361,286,882,336,365
"0900300011660",3126,78,101,207,145,147,430,308,958,438,278
"0900300011675",3911,120,110,244,122,154,489,328,999,581,631
"090030001168A",1848,47,47,118,55,74,248,156,543,292,167
"0900300011694",1634,53,52,101,54,76,195,134,514,253,155
"0900300011707",5027,138,137,332,198,239,633,417,1392,780,592
"0900300011726",2989,63,78,189,105,115,276,212,915,362,616
"0900300011730",707,12,12,30,17,23,71,54,171,100,198
"0900300011745",3261,116,110,217,123,133,358,303,927,422,299
"090030001175A",3564,84,111,226,147,138,444,276,1020,507,494
"0900300011764",3169,104,106,223,121,211,421,260,983,372,224
"0900300011779",1953,65,76,163,86,77,168,163,614,201,194
"0900300011783",2818,72,74,164,87,92,297,305,813,450,361
"0900300011798",657,22,26,39,20,25,62,48,212,51,74
"090040001002A",4727,199,220,475,201,246,597,376,1453,417,470
"0900400010049",4089,106,143,379,184,229,657,289,1057,468,461
"0900400010053",6692,309,333,650,308,319,744,556,2112,564,556
"0900400010072",3412,162,175,332,176,215,444,294,982,274,321
"0900400010091",11430,492,589,1238,588,624,1364,982,3514,974,987
"0900400010104",6314,289,289,614,294,299,749,406,2203,544,602
"0900400010119",3341,128,132,307,164,186,422,238,1037,365,332
"0900400010123",5350,212,232,533,300,284,641,401,1712,551,477
"0900400010138",6765,361,404,706,340,342,889,585,1964,583,544
"0900400010176",8025,370,355,642,310,396,1163,736,2154,640,629
"0900400010180",5609,196,229,548,274,347,800,407,1591,575,487
"0900400010195",10358,482,508,985,438,504,1471,831,3119,887,819
"0900400010208",6461,347,371,762,323,355,846,540,1935,523,399
"0900400010212",4704,228,251,500,236,223,536,377,1588,392,356
"0900400010227",8879,483,533,1043,462,485,1245,818,2519,674,589
"0900400010231",8958,518,552,1088,473,557,1243,766,2564,677,491
"0900400010250",3756,189,234,442,191,196,457,309,1117,347,250
"090040001027A",4915,187,231,443,210,229,645,374,1541,524,498
"0900400010299",8015,387,420,863,389,366,947,600,2540,752,645
"0900400010301",4216,207,240,464,205,240,456,338,1363,371,306
"0900400010320",2792,214,165,321,156,172,407,232,781,160,126
"090040001034A",3172,167,162,310,160,187,412,282,975,235,247
"0900400010354",7010,274,325,713,347,389,846,522,2193,667,701
"0900400010369",5681,269,252,309,127,138,599,581,2125,404,311
"0900400010373",8672,412,483,928,427,415,1031,656,2248,600,392
"0900400010392",554,37,36,62,26,34,95,41,162,32,29
"0900400010405",4411,202,193,425,197,202,515,323,1170,370,410
